,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
35,Address: 1610 Sacramento Street #5, San FranciscoSales price: 1450000Sales date: 02/12/2016Bedrooms: 1Square feet: 1167Lot size: 4788,1610 Sacramento St APT 5,2.0,2.0,1252.0,02/12/2016,1450000.0,37.791904,-122.419806,Nob Hill,4.0,Condominium,2002.0,1386684.0,"1,459,200",94109.0,61288302.0
36,Address: 1536 Pacific Avenue #1, San FranciscoSales price: 2500000Sales date: 02/12/2016Bedrooms: 2Square feet: 1407Lot size: 5300,1536 Pacific Ave # 1,2.0,3.0,1444.0,02/12/2016,2500000.0,37.795383,-122.420623,Nob Hill,6.0,Condominium,2009.0,2125825.0,"1,459,200",94109.0,96039237.0
37,Address: 541 Prentiss Street, San FranciscoSales price: 171000Sales date: 02/12/2016Bedrooms: 0Square feet: 938Lot size: 1751,541 Prentiss St,2.0,3.0,1200.0,02/12/2016,171000.0,37.73639,-122.412103,Bernal Heights,5.0,SingleFamily,1953.0,1261487.0,"1,248,000",94110.0,15163972.0
38,Address: 31 Hartford Street, San FranciscoSales price: 871500Sales date: 02/12/2016Bedrooms: 0Square feet: 1265Lot size: 3271,31 Hartford St,1.0,2.0,1265.0,02/12/2016,871500.0,37.76207,-122.43369,Eureka Valley - Dolores Heights - Castro,5.0,Condominium,1902.0,1262136.0,"1,744,100",94114.0,15144391.0
40,Address: 1600 Webster Street #106, San FranciscoSales price: 900000Sales date: 02/12/2016Bedrooms: 1Square feet: 859Lot size: 18978,1600 Webster St APT 106,1.0,1.0,859.0,02/12/2016,900000.0,37.78568,-122.430955,Lower Pacific Heights,4.0,Condominium,2005.0,820965.0,"1,178,700",94115.0,64971357.0
41,Address: 233 18th Avenue, San FranciscoSales price: 1020000Sales date: 02/12/2016Bedrooms: 2Square feet: 1308Lot size: 2989,233 18th Ave,1.0,2.0,1308.0,02/12/2016,1020000.0,37.783586,-122.477794,Central Richmond,5.0,Condominium,1914.0,1077432.0,"1,485,300",94121.0,79845847.0
42,Address: 248 17th Avenue, San FranciscoSales price: 1410500Sales date: 02/12/2016Bedrooms: 2Square feet: 1429Lot size: 3000,248 17th Ave,1.5,2.0,1429.0,02/12/2016,1410500.0,37.783401,-122.476049,Central Richmond,6.0,Condominium,1922.0,1170744.0,"1,485,300",94121.0,79841409.0
43,Address: 1374 45th Avenue, San FranciscoSales price: 951000Sales date: 02/12/2016Bedrooms: 0Square feet: 1771Lot size: 4077,1374 45th Ave,1.0,3.0,1771.0,02/12/2016,951000.0,37.761002,-122.504565,Outer Sunset,8.0,SingleFamily,1905.0,956441.0,"1,031,800",94122.0,15103994.0
44,Address: 1087 Palou Avenue, San FranciscoSales price: 430000Sales date: 02/12/2016Bedrooms: 0Square feet: 1452Lot size: 1873,1087 Palou Ave,2.0,3.0,1452.0,02/12/2016,430000.0,37.728354,-122.381454,Bayview,8.0,SingleFamily,1900.0,536665.0,"731,900",94124.0,15153617.0
45,Address: 1486 Underwood Avenue, San FranciscoSales price: 680000Sales date: 02/12/2016Bedrooms: 0Square feet: 1115Lot size: 2500,1486 Underwood Ave,2.0,3.0,1115.0,02/12/2016,680000.0,37.728777,-122.389531,Bayview,6.0,SingleFamily,1931.0,631581.0,"731,900",94124.0,15154174.0
46,Address: 350 Lansdale Avenue, San FranciscoSales price: 1440000Sales date: 02/12/2016Bedrooms: 0Square feet: 2378Lot size: 9861,350 Lansdale Ave,3.0,3.0,2378.0,02/12/2016,1440000.0,37.735851,-122.458653,Westwood Highlands,8.0,SingleFamily,1940.0,1709182.0,"1,424,100",94127.0,15135745.0
47,Address: 120 Ulloa Street, San FranciscoSales price: 1700000Sales date: 02/12/2016Bedrooms: 3Square feet: 2063Lot size: 3101,120 Ulloa St,2.5,2.0,2063.0,02/12/2016,1700000.0,37.744348,-122.455305,Forest Hill Extension,10.0,SingleFamily,1937.0,1755644.0,"1,669,300",94127.0,15133658.0
48,Address: 159 Middlefield Drive, San FranciscoSales price: 234000Sales date: 02/12/2016Bedrooms: 3Square feet: 1970Lot size: 3301,159 Middlefield Dr,3.0,3.0,2200.0,02/12/2016,234000.0,37.731436,-122.486486,Lakeshore,6.0,SingleFamily,1950.0,1455842.0,"1,264,800",94132.0,15197928.0
49,Address: 8 Dunsmuir Street, San FranciscoSales price: 700000Sales date: 02/12/2016Bedrooms: 2Square feet: 1250Lot size: 2548,8 Dunsmuir St,1.0,2.0,1250.0,02/12/2016,700000.0,37.730809,-122.414514,Portola,5.0,SingleFamily,1936.0,964978.0,"888,400",94134.0,15165553.0
50,Address: 22 West View Avenue, San FranciscoSales price: 744000Sales date: 02/12/2016Bedrooms: 2Square feet: 970Lot size: 2495,22 W View Ave,1.0,2.0,970.0,02/12/2016,744000.0,37.730916,-122.418729,Portola,5.0,SingleFamily,1943.0,736105.0,"888,400",94134.0,15166504.0
57,Address: 4160 17th Street, San FranciscoSales price: 1100000Sales date: 02/11/2016Bedrooms: 1Square feet: 911Lot size: 2628,4160 17th St,2.0,2.0,911.0,02/11/2016,1100000.0,37.762498,-122.438686,Corona Heights,4.0,Condominium,1904.0,938211.0,"1,475,100",94114.0,82789821.0
59,Address: 1315 21st Avenue, San FranciscoSales price: 1325000Sales date: 02/11/2016Bedrooms: 0Square feet: 1416Lot size: 2374,1315 21st Ave,1.25,2.0,1621.0,02/11/2016,1325000.0,37.763108,-122.479527,Central Sunset,6.0,SingleFamily,1911.0,1225848.0,"1,125,700",94122.0,15103026.0
60,Address: 4229 26th Street, San FranciscoSales price: 2525000Sales date: 02/11/2016Bedrooms: 3Square feet: 2398Lot size: 2736,4229 26th St,3.0,3.0,2048.0,02/11/2016,2525000.0,37.747788,-122.434812,Noe Valley,7.0,SingleFamily,1900.0,2641338.0,"1,782,000",94131.0,15181667.0
70,Address: 361 Texas Street, San FranciscoSales price: 2300000Sales date: 02/10/2016Bedrooms: 2Square feet: 1880Lot size: 2495,361 Texas St,2.0,3.0,2080.0,02/10/2016,2300000.0,37.761845,-122.395171,Potrero Hill,7.0,SingleFamily,1906.0,2058271.0,"1,277,600",94107.0,15149547.0
71,Address: 667 Shotwell Street #A, San FranciscoSales price: 775000Sales date: 02/10/2016Bedrooms: 2Square feet: 1212Lot size: 0,667 Shotwell St # A,1.0,1.0,1212.0,02/10/2016,775000.0,37.757851,-122.415629,Mission,4.0,Condominium,1890.0,1197178.0,"1,185,400",94110.0,123597388.0
72,Address: 2919 Pacific Avenue #6, San FranciscoSales price: 1457000Sales date: 02/10/2016Bedrooms: 2Square feet: 1125Lot size: 6851,2919 Pacific Ave APT 6,2.0,2.0,1125.0,02/10/2016,1457000.0,37.79197,-122.44344,Pacific Heights,4.0,Condominium,1905.0,1488108.0,"1,910,700",94115.0,15081126.0
74,Address: 2455 14th Avenue, San FranciscoSales price: 1525000Sales date: 02/10/2016Bedrooms: 3Square feet: 1700Lot size: 4046,2455 14th Ave,3.75,4.0,1846.0,02/10/2016,1525000.0,37.742271,-122.470518,West Portal,5.0,SingleFamily,1932.0,1195679.0,"1,565,000",94116.0,15122857.0
75,Address: 30 Beaumont Avenue, San FranciscoSales price: 550000Sales date: 02/10/2016Bedrooms: 3Square feet: 1164Lot size: 2863,30 Beaumont Ave,1.0,3.0,1164.0,02/10/2016,550000.0,37.780933,-122.454866,Lone Mountain,6.0,SingleFamily,1922.0,1247699.0,"1,447,700",94118.0,15083789.0
76,Address: 108 16th Avenue, San FranciscoSales price: 3800000Sales date: 02/10/2016Bedrooms: 7Square feet: 4808Lot size: 2750,108 16th Ave,5.0,7.0,4808.0,02/10/2016,3800000.0,37.785945,-122.475319,Lake,15.0,MultiFamily2To4,1914.0,4498161.0,"2,244,500",94118.0,15090052.0
77,Address: 766 30th Avenue, San FranciscoSales price: 1900000Sales date: 02/10/2016Bedrooms: 5Square feet: 2520Lot size: 3000,766 30th Ave,4.0,4.0,2520.0,02/10/2016,1900000.0,37.774837,-122.489397,Central Richmond,8.0,SingleFamily,1927.0,1931715.0,"1,485,300",94121.0,15097411.0
86,Address: 601 Van Ness Avenue #629, San FranciscoSales price: 620000Sales date: 02/09/2016Bedrooms: 1Square feet: 706Lot size: 105806,601 Van Ness Ave APT 629,1.0,1.0,706.0,02/09/2016,620000.0,37.781386,-122.421406,Van Ness - Civic Center,3.0,Condominium,1982.0,623886.0,"855,500",94102.0,15077721.0
90,Address: 260 King Street #815, San FranciscoSales price: 800000Sales date: 02/09/2016Bedrooms: 1Square feet: 903Lot size: 213232,260 King St UNIT 815,1.0,1.0,903.0,02/09/2016,800000.0,37.777641,-122.393417,South of Market,3.0,Condominium,2004.0,807995.0,"975,700",94107.0,69819637.0
92,Address: 2040 Fell Street #12, San FranciscoSales price: 872500Sales date: 02/09/2016Bedrooms: 0Square feet: 1593Lot size: 33772,2040 Fell St APT 12,1.0,2.0,1593.0,02/09/2016,872500.0,37.772597,-122.451587,North Panhandle,4.0,Condominium,1925.0,996489.0,"1,231,800",94117.0,15086324.0
93,Address: 784 Spruce Street, San FranciscoSales price: 1535000Sales date: 02/09/2016Bedrooms: 0Square feet: 2060Lot size: 2495,784-786 Spruce St,3.0,8.0,2600.0,02/09/2016,1535000.0,37.780606,-122.452663,Lone Mountain,10.0,MultiFamily2To4,1927.0,1524759.0,"1,447,700",94118.0,15083824.0
95,Address: 1444 17th Avenue #101, San FranciscoSales price: 1600000Sales date: 02/09/2016Bedrooms: 2Square feet: 1902Lot size: 3000,1444 17th Ave # 101,3.0,3.0,1902.0,02/09/2016,1600000.0,37.760979,-122.474469,Inner Sunset,6.0,Condominium,1996.0,1419587.0,"1,357,900",94122.0,15105664.0
96,Address: 1618 12th Avenue, San FranciscoSales price: 1625000Sales date: 02/09/2016Bedrooms: 0Square feet: 2349Lot size: 3015,1618 12th Ave,3.0,4.0,2900.0,02/09/2016,1625000.0,37.757906,-122.468775,Inner Sunset,8.0,Condominium,2001.0,1597121.0,"1,357,900",94122.0,59718406.0
98,Address: 5696 Diamond Heights Boulevard, San FranciscoSales price: 2050000Sales date: 02/09/2016Bedrooms: 3Square feet: 2435Lot size: 2585,5696 Diamond Heights Blvd,3.5,3.0,2435.0,02/09/2016,2050000.0,37.738831,-122.439262,Diamond Heights,7.0,SingleFamily,1980.0,2016900.0,"1,098,500",94131.0,15199559.0
103,Address: 901 Post Street #2, San FranciscoSales price: 885000Sales date: 02/08/2016Bedrooms: 3Square feet: 1207Lot size: 700,901 Post St # 2,2.0,3.0,1207.0,02/08/2016,885000.0,37.787089,-122.416761,Downtown,9.0,Condominium,2002.0,1626076.0,"807,800",94109.0,61325028.0
104,Address: 66 Cleary Court #1504, San FranciscoSales price: 960000Sales date: 02/08/2016Bedrooms: 3Square feet: 1106Lot size: 65376,66 Cleary Ct APT 1504,2.0,3.0,1106.0,02/08/2016,960000.0,37.784298,-122.427058,Western Addition,6.0,Condominium,1963.0,957064.0,"983,400",94109.0,15076984.0
105,Address: 1800 Bryant Street #202, San FranciscoSales price: 825000Sales date: 02/08/2016Bedrooms: 1Square feet: 935Lot size: 14972,1800 Bryant St STE 202,2.0,1.0,935.0,02/08/2016,825000.0,37.764088,-122.410828,Mission,3.0,Condominium,2000.0,889532.0,"1,185,400",94110.0,54487721.0
106,Address: 3919 17th Street, San FranciscoSales price: 1065000Sales date: 02/08/2016Bedrooms: 1Square feet: 968Lot size: 1584,3919 17th St,1.0,2.0,968.0,02/08/2016,1065000.0,37.76241,-122.433456,Eureka Valley - Dolores Heights - Castro,4.0,MultiFamily2To4,1910.0,989982.0,"1,744,100",94114.0,63158562.0
108,Address: 325 Locust Street, San FranciscoSales price: 1925000Sales date: 02/08/2016Bedrooms: 3Square feet: 1950Lot size: 312,325 Locust St,2.0,3.0,1950.0,02/08/2016,1925000.0,37.787916,-122.452338,Presidio Heights,7.0,Condominium,1905.0,2521256.0,"5,333,500",94118.0,50883158.0
109,Address: 50 Longview Court, San FranciscoSales price: 1250000Sales date: 02/08/2016Bedrooms: 3Square feet: 1703Lot size: 2805,50 Longview Ct,2.0,4.0,1703.0,02/08/2016,1250000.0,37.748415,-122.450795,Midtown Terrace,8.0,SingleFamily,1955.0,1358996.0,"1,117,200",94131.0,15131999.0
116,Address: 2243 Franklin Street, San FranciscoSales price: 1950000Sales date: 02/05/2016Bedrooms: 2Square feet: 1463Lot size: 3582,2243 Franklin St,2.0,2.0,1463.0,02/05/2016,1950000.0,37.795139,-122.425309,Pacific Heights,7.0,Condominium,1900.0,1922387.0,"1,910,700",94109.0,15073030.0
117,Address: 576 Brunswick Street, San FranciscoSales price: 609000Sales date: 02/05/2016Bedrooms: 0Square feet: 1200Lot size: 2661,576 Brunswick St,1.0,2.0,1200.0,02/05/2016,609000.0,37.710208,-122.445075,Crocker Amazon,5.0,SingleFamily,1931.0,637413.0,"823,000",94112.0,15179045.0
118,Address: 79 Seward Street, San FranciscoSales price: 2350000Sales date: 02/05/2016Bedrooms: 3Square feet: 2650Lot size: 2622,79 Seward St,2.0,3.0,2650.0,02/05/2016,2350000.0,37.758626,-122.440801,Eureka Valley - Dolores Heights - Castro,8.0,SingleFamily,1929.0,2211797.0,"1,744,100",94114.0,15129566.0
120,Address: 2105 Buchanan Street #6, San FranciscoSales price: 1770000Sales date: 02/05/2016Bedrooms: 2Square feet: 1700Lot size: 4668,2105 Buchanan St APT 6,2.0,3.0,1700.0,02/05/2016,1770000.0,37.789597,-122.430787,Pacific Heights,5.0,Condominium,1921.0,1137507.0,"1,910,700",94115.0,15074690.0
121,Address: 2017 Buchanan Street, San FranciscoSales price: 2800000Sales date: 02/05/2016Bedrooms: 4Square feet: 2850Lot size: 2152,2017 Buchanan St,4.0,4.0,2850.0,02/05/2016,2800000.0,37.788913,-122.430728,Lower Pacific Heights,7.0,Condominium,1890.0,3032479.0,"1,178,700",94115.0,21699068.0
122,Address: 1015 Ashbury Street #2, San FranciscoSales price: 1350000Sales date: 02/05/2016Bedrooms: 0Square feet: 1147Lot size: 4988,1015 Ashbury St APT 2,2.0,2.0,1252.0,02/05/2016,1350000.0,37.76432,-122.446342,Parnassus - Ashbury,4.0,Condominium,1913.0,1300995.0,"2,151,400",94117.0,79843553.0
125,Address: 170 Bridgeview Drive, San FranciscoSales price: 725000Sales date: 02/05/2016Bedrooms: 3Square feet: 1297Lot size: 3070,170 Bridgeview Dr,2.0,3.0,1297.0,02/05/2016,725000.0,37.735503,-122.397062,Silver Terrace,6.0,SingleFamily,1964.0,797170.0,"736,700",94124.0,15157051.0
126,Address: 884 Ingerson Avenue, San FranciscoSales price: 850000Sales date: 02/05/2016Bedrooms: 0Square feet: 1789Lot size: 2495,884 Ingerson Ave,3.0,5.0,1789.0,02/05/2016,850000.0,37.71805,-122.390617,Bayview,8.0,SingleFamily,1964.0,910894.0,"731,900",94124.0,15154657.0
127,Address: 475 Princeton Street, San FranciscoSales price: 860000Sales date: 02/05/2016Bedrooms: 0Square feet: 1254Lot size: 1751,475 Princeton St,1.0,2.0,1254.0,02/05/2016,860000.0,37.72396,-122.413872,Portola,5.0,SingleFamily,1949.0,789444.0,"888,400",94134.0,15170072.0
133,Address: 333 1st Street #1702, San FranciscoSales price: 885000Sales date: 02/04/2016Bedrooms: 1Square feet: 713Lot size: 38571,333 1st St UNIT 1702,1.0,1.0,713.0,02/04/2016,885000.0,37.787031,-122.393642,South Beach,3.0,Condominium,2004.0,903954.0,"1,286,900",94105.0,64972552.0
136,Address: 861 Rhode Island Street #A, San FranciscoSales price: 1110000Sales date: 02/04/2016Bedrooms: 3Square feet: 1995Lot size: 2495,961A Rhode Island St,2.5,4.0,2166.0,06/11/2015,1600000.0,37.757681,-122.401578,Potrero Hill,11.0,MultiFamily2To4,1908.0,1599122.0,"1,277,600",94107.0,15150449.0
140,Address: 415 Amherst Street, San FranciscoSales price: 760000Sales date: 02/04/2016Bedrooms: 0Square feet: 1000Lot size: 1751,415 Amherst St,1.0,2.0,1000.0,02/04/2016,760000.0,37.724352,-122.415124,Portola,4.0,SingleFamily,1949.0,765401.0,"888,400",94134.0,15170058.0
147,Address: 201 Holly Park Circle, San FranciscoSales price: 227500Sales date: 02/03/2016Bedrooms: 3Square feet: 2250Lot size: 1712,201 Holly Park Cir,2.0,3.0,2250.0,02/03/2016,227500.0,37.737764,-122.418634,Bernal Heights,8.0,SingleFamily,1910.0,1402002.0,"1,248,000",94110.0,15163518.0
148,Address: 30 Otsego Avenue, San FranciscoSales price: 1300000Sales date: 02/03/2016Bedrooms: 3Square feet: 1806Lot size: 3140,30 Otsego Ave,2.0,3.0,1806.0,02/03/2016,1300000.0,37.726945,-122.439334,Mission Terrace,7.0,SingleFamily,1924.0,1211468.0,"992,600",94112.0,15140181.0
152,Address: 80 Venus Street, San FranciscoSales price: 810000Sales date: 02/03/2016Bedrooms: 0Square feet: 1200Lot size: 2487,80 Venus St,1.5,3.0,1200.0,02/03/2016,810000.0,37.731771,-122.397584,Silver Terrace,5.0,SingleFamily,1941.0,696627.0,"736,700",94124.0,15157490.0
154,Address: 1816 Castro Street, San FranciscoSales price: 850000Sales date: 02/03/2016Bedrooms: 0Square feet: 884Lot size: 3180,1816 Castro St,1.0,2.0,884.0,02/03/2016,850000.0,37.747035,-122.433868,Noe Valley,5.0,Condominium,1918.0,1027971.0,"1,782,000",94131.0,89236680.0
156,Address: 149 Laidley Street, San FranciscoSales price: 1950000Sales date: 02/03/2016Bedrooms: 3Square feet: 2100Lot size: 2500,149 Laidley St,2.0,3.0,2100.0,02/03/2016,1950000.0,37.739623,-122.428899,Glen Park,10.0,SingleFamily,1900.0,1880749.0,"1,660,200",94131.0,15184023.0
160,Address: 737 Tehama Street #1, San FranciscoSales price: 1030000Sales date: 02/02/2016Bedrooms: 2Square feet: 883Lot size: 1554,737 Tehama St # 1,2.0,2.0,977.0,02/02/2016,1030000.0,37.775184,-122.411567,South of Market,5.0,Condominium,2006.0,1004132.0,"975,700",94103.0,79845585.0
164,Address: 319 De Long Street, San FranciscoSales price: 565000Sales date: 02/02/2016Bedrooms: 2Square feet: 875Lot size: 2256,319 De Long St,1.0,2.0,875.0,02/02/2016,565000.0,37.709411,-122.465031,Outer Mission,4.0,SingleFamily,1950.0,642369.0,"814,200",94112.0,15196286.0
165,Address: 1655 48th Avenue, San FranciscoSales price: 762000Sales date: 02/02/2016Bedrooms: 0Square feet: 697Lot size: 2996,1655 48th Ave,1.0,2.0,697.0,02/02/2016,762000.0,37.755586,-122.508063,Outer Sunset,4.0,SingleFamily,1904.0,711217.0,"1,031,800",94122.0,15108054.0
173,Address: 4219 Folsom Street, San FranciscoSales price: 950000Sales date: 02/01/2016Bedrooms: 0Square feet: 1539Lot size: 1751,4219 Folsom St,2.0,3.0,1539.0,02/01/2016,950000.0,37.734334,-122.413534,Bernal Heights,7.0,SingleFamily,1976.0,965984.0,"1,248,000",94110.0,15164756.0
188,Address: 403 Main Street #518N, San FranciscoSales price: 1415000Sales date: 01/29/2016Bedrooms: 2Square feet: 1118Lot size: 29037,403 Main St APT 518N,2.0,2.0,1118.0,01/29/2016,1415000.0,37.788008,-122.389643,South Beach,5.0,Condominium,1997.0,1277409.0,"1,286,900",94105.0,15148615.0
190,Address: 188 Minna Street #38C, San FranciscoSales price: 7500000Sales date: 01/29/2016Bedrooms: 2Square feet: 1670Lot size: 33056,188 Minna St APT 38C,2.5,2.0,1670.0,01/29/2016,7500000.0,37.786289,-122.401374,Yerba Buena,5.0,Condominium,2005.0,4118863.0,"1,006,900",94105.0,69819214.0
193,Address: 1200 Gough Street #22B, San FranciscoSales price: 650000Sales date: 01/29/2016Bedrooms: 1Square feet: 550Lot size: 44676,1200 Gough St APT 22B,1.0,0.0,550.0,01/29/2016,650000.0,37.78482,-122.423994,Van Ness - Civic Center,2.0,Condominium,1966.0,667585.0,"855,500",94109.0,15077111.0
194,Address: 979 Guerrero Street, San FranciscoSales price: 1275000Sales date: 01/29/2016Bedrooms: 2Square feet: 1440Lot size: 0,979 Guerrero St,2.0,3.0,1440.0,01/29/2016,1275000.0,37.755554,-122.42316,Mission,7.0,Condominium,1885.0,1472631.0,"1,185,400",94110.0,119685723.0
196,Address: 1940 Buchanan Street, San FranciscoSales price: 1250000Sales date: 01/29/2016Bedrooms: 2Square feet: 1480Lot size: 1851,1940 Buchanan St,1.0,3.0,1480.0,01/29/2016,1250000.0,37.788038,-122.430024,Lower Pacific Heights,5.0,Condominium,1904.0,1574733.0,"1,178,700",94115.0,15075414.0
198,Address: 2275 47th Avenue, San FranciscoSales price: 1225000Sales date: 01/29/2016Bedrooms: 0Square feet: 2193Lot size: 2996,2275 47th Ave,2.5,4.0,2193.0,01/29/2016,1225000.0,37.744067,-122.506187,Outer Parkside,7.0,SingleFamily,1962.0,1358925.0,"981,900",94116.0,15118457.0
199,Address: 988 Fulton Street #326, San FranciscoSales price: 555000Sales date: 01/29/2016Bedrooms: 1Square feet: 417Lot size: 41262,988 Fulton St APT 326,1.0,1.0,417.0,01/29/2016,555000.0,37.778034,-122.43251,Western Addition,5.0,Condominium,1999.0,588432.0,"983,400",94117.0,79845444.0
200,Address: 487 19th Avenue, San FranciscoSales price: 1900000Sales date: 01/29/2016Bedrooms: 4Square feet: 2596Lot size: 2063,487 19th Ave,4.0,4.0,2596.0,01/29/2016,1900000.0,37.778728,-122.478448,Central Richmond,9.0,SingleFamily,1916.0,2102133.0,"1,485,300",94121.0,15093995.0
203,Address: 448 Gold Mine Drive, San FranciscoSales price: 1558000Sales date: 01/29/2016Bedrooms: 4Square feet: 2275Lot size: 2935,448 Gold Mine Dr,3.0,4.0,2200.0,01/29/2016,1558000.0,37.739244,-122.4371,Diamond Heights,7.0,SingleFamily,1968.0,1775216.0,"1,098,500",94131.0,15199573.0
